"ICAO Code","IATA Type Code","Model","Wikipedia Link"
"E145","ER4","Embraer RJ145","https://en.wikipedia.org/wiki/Embraer_RJ145"
"E170","E70","Embraer 170","https://en.wikipedia.org/wiki/Embraer_170"
"E190","E90","Embraer 190 / Lineage 1000","https://en.wikipedia.org/wiki/Embraer_190"
"E195","E95","Embraer 195","https://en.wikipedia.org/wiki/Embraer_195"
"E290","290","Embraer E190-E2","https://en.wikipedia.org/wiki/Embraer_E-Jet_E2_family"
"E295","295","Embraer E195-E2","https://en.wikipedia.org/wiki/Embraer_E-Jet_E2_family"
"E35L","ER3","Embraer Legacy 600 / Legacy 650","https://en.wikipedia.org/wiki/Embraer_Legacy_600"
"E50P","EP1","Embraer Phenom 100","https://en.wikipedia.org/wiki/Embraer_Phenom_100"
"E545","","Embraer Legacy 450 / Praetor 500","https://en.wikipedia.org/wiki/Embraer_Legacy_450"
"E550","","Embraer Legacy 500 / Praetor 600","https://en.wikipedia.org/wiki/Embraer_Legacy_500"
"E55P","EP3","Embraer Phenom 300","https://en.wikipedia.org/wiki/Embraer_Phenom_300"
"E75L","E7W","Embraer 175 (long wing)","https://en.wikipedia.org/wiki/Embraer_E-Jet_family"
"E75S","E75","Embraer 175 (short wing)","https://en.wikipedia.org/wiki/Embraer_E-Jet_family"
"EA50","","Eclipse 500","https://en.wikipedia.org/wiki/Eclipse_500"
"F100","100","Fokker 100","https://en.wikipedia.org/wiki/Fokker_100"
"F27","F27","Fokker F27 Friendship","https://en.wikipedia.org/wiki/Fokker_F27_Friendship"
"F28","F21","Fokker F28 Fellowship","https://en.wikipedia.org/wiki/Fokker_F28_Fellowship"
"F2TH","D20","Dassault Falcon 2000","https://en.wikipedia.org/wiki/Dassault_Falcon_2000"
"F406","CNT","Reims-Cessna F406 Caravan II","https://en.wikipedia.org/wiki/Reims-Cessna_F406_Caravan_II"
"F50","F50","Fokker 50","https://en.wikipedia.org/wiki/Fokker_50"
"F70","F70","Fokker 70","https://en.wikipedia.org/wiki/Fokker_70"
"F900","DF9","Dassault Falcon 900","https://en.wikipedia.org/wiki/Dassault_Falcon_900"
"FA50","DF3","Dassault Falcon 50","https://en.wikipedia.org/wiki/Dassault_Falcon_50"
"FA6X","DF6","Dassault Falcon 6X","https://en.wikipedia.org/wiki/Dassault_Falcon_6X"
